ID;LAT;LNG;BANCO;RED;DOM_GEO;TERMINALES;BARRIO;RED_CODE;RETIROS;RECARGAS
1;-34.62021992508938;-58.41104785246385;BANCO GALICIA;BANELCO;791 24 DE NOVIEMBRE;1;BALVANERA;1;0;1000
2;-34.60611379518253;-58.37110829127745;BANCO SANTANDER RIO;BANELCO;140 25 DE MAYO;4;SAN NICOLAS;1;0;4000
3;-34.60427204487223;-58.37079192232687;HSBC ARGENTINA;BANELCO;299 25 DE MAYO;2;SAN NICOLAS;1;0;2000
4;-34.60271767278071;-58.41161718914586;BANCO SUPERVIELLE;BANELCO;616 AGUERO;1;BALVANERA;1;0;1000
5;-34.60262214970656;-58.4115932979697;HSBC ARGENTINA;BANELCO;628 AGUERO;1;BALVANERA;1;0;1000
6;-34.62636562260092;-58.45026586155591;CITIBANK;BANELCO;1555 ALBERDI, JUAN BAUTISTA AV.;1;CABALLITO;1;0;1000
7;-34.614143408887166;-58.36595135740964;BANCO SANTANDER RIO;BANELCO;1370 MOREAU DE JUSTO, ALICIA AV.;2;PUERTO MADERO;1;0;2000
8;-34.600337671819574;-58.3672859089088;BANCO SANTANDER RIO;BANELCO;164 MOREAU DE JUSTO, ALICIA AV.;2;PUERTO MADERO;1;0;2000
9;-34.607301591352645;-58.36648997650365;BBVA-BANCO FRANCES;BANELCO;840 MOREAU DE JUSTO, ALICIA AV.;1;PUERTO MADERO;1;0;1000
10;-34.61121753729033;-58.38530031360456;BANCO SANTANDER RIO;BANELCO;1338 ALSINA, ADOLFO;2;MONSERRAT;1;0;2000
11;-34.59138996775319;-58.38304986623883;BANCO SANTANDER RIO;BANELCO;1301 ALVEAR AV.;2;RETIRO;1;0;2000
12;-34.58941222921177;-58.37053244858734;HSBC ARGENTINA;BANELCO;ANTARTIDA ARGENTINA AV. & PY, COMODORO, AV.;1;RETIRO;1;0;1000
13;-34.56743743895249;-58.43721553144165;BANCO SANTANDER RIO;BANELCO;940 ARCE;2;PALERMO;1;0;2000
14;-34.60189465800248;-58.513000229752166;BANCO SANTANDER RIO;BANELCO;4193 ASUNCION;2;VILLA DEVOTO;1;0;2000
15;-34.59502006249968;-58.399454607616626;ICBC;BANELCO;2265 SANTA FE AV.;2;RECOLETA;1;0;2000
16;-34.63443477258772;-58.43568669816477;BBVA-BANCO FRANCES;BANELCO;695 ASAMBLEA AV.;1;PARQUE CHACABUCO;1;0;1000
17;-34.558624130147564;-58.45935164355025;HSBC ARGENTINA;BANELCO;2453 CABILDO AV.;1;BELGRANO;1;0;1000
18;-34.552469415239486;-58.465096042260434;ICBC;BANELCO;3223 CABILDO AV.;1;NUÑEZ;1;0;1000
19;-34.590002671688474;-58.39023730898388;BANCO SANTANDER RIO;BANELCO;1690 CALLAO AV.;2;RECOLETA;1;0;2000
20;-34.60387063065874;-58.41101528571154;HSBC ARGENTINA;BANELCO;3247 CORRIENTES AV.;1;BALVANERA;1;0;1000
21;-34.572143286332334;-58.50572896282311;CITIBANK;BANELCO;6020 DE LOS CONSTITUYENTES AV.;3;VILLA PUEYRREDON;1;0;3000
22;-34.54507984255834;-58.45965178535733;ICBC;BANELCO;7468 DEL LIBERTADOR AV.;1;NUÑEZ;1;0;1000
23;-34.64522667679948;-58.48479500793026;CITIBANK;BANELCO;4311 DIRECTORIO AV.;1;PARQUE AVELLANEDA;1;0;1000
24;-34.65416724451304;-58.52061106970886;BANCO PATAGONIA;BANELCO;7325 CASTRO, EMILIO AV.;1;LINIERS;1;0;1000
25;-34.583513016657456;-58.45313139661101;BANCO MACRO;BANELCO;3825 LACROZE, FEDERICO AV.;2;CHACARITA;1;0;2000
26;-34.620605975538346;-58.47398817731125;BANCO GALICIA;BANELCO;3496 GAONA AV.;1;FLORES;1;0;1000
27;-34.67505988989227;-58.46038311004974;BANCO GALICIA;BANELCO;4602 FERNANDEZ DE LA CRUZ, F., GRAL. AV.;2;VILLA LUGANO;1;0;2000
28;-34.58249854462275;-58.49570360519044;BANCO GALICIA;BANELCO;2340 MOSCONI GENERAL AV.;3;VILLA PUEYRREDON;1;0;3000
29;-34.5858457023873;-58.50110982317799;BBVA-BANCO FRANCES;BANELCO;2816 MOSCONI GENERAL AV.;1;VILLA PUEYRREDON;1;0;1000
30;-34.61011669998693;-58.46519714654727;ICBC;BANELCO;4710 JUSTO, JUAN B. AV.;1;VILLA GRAL. MITRE;1;0;1000
31;-34.57845254329258;-58.40815936701898;CITIBANK;BANELCO;2728 DEL LIBERTADOR AV.;1;PALERMO;1;0;1000
32;-34.58816470515317;-58.38349903065195;HSBC ARGENTINA;BANELCO;750 DEL LIBERTADOR AV.;1;RETIRO;1;0;1000
33;-34.66269692898439;-58.4997560175731;BANCO GALICIA;BANELCO;2406 DE LA TORRE, LISANDRO AV.;1;MATADEROS;1;0;1000
34;-34.63988578742361;-58.37414993504098;BANCO ITAU;BANELCO;1022 MONTES DE OCA, MANUEL;1;BARRACAS;1;0;1000
35;-34.61804354944322;-58.360734122969646;BANCO MACRO;BANELCO;507 VERA PEÑALOZA,  ROSARIO;2;PUERTO MADERO;1;0;2000
37;-34.626884471493796;-58.45772819182508;BBVA-BANCO FRANCES;BANELCO;6483 RIVADAVIA AV.;1;FLORES;1;0;1000
38;-34.6296593071313;-58.46486461749015;BANCO ITAU;BANELCO;7060 RIVADAVIA AV.;1;FLORES;1;0;1000
39;-34.584842834103654;-58.41569687615909;BANCO ITAU;BANELCO;2524 SCALABRINI ORTIZ, RAUL;1;PALERMO;1;0;1000
40;-34.60301995019384;-58.46499195856267;BANCO GALICIA;BANELCO;2800 SAN MARTIN AV.;2;VILLA GRAL. MITRE;1;0;2000
41;-34.59031780790862;-58.5149556024633;BANCO ITAU;BANELCO;7187 SAN MARTIN AV.;1;VILLA DEVOTO;1;0;1000
42;-34.595705338411086;-58.38344224445912;CITIBANK;BANELCO;1148 SANTA FE AV.;1;RETIRO;1;0;1000
43;-34.60125429460914;-58.36718656635174;BBVA-BANCO FRANCES;BANELCO;228 MOREAU DE JUSTO, ALICIA AV.;1;PUERTO MADERO;1;0;1000
44;-34.63216035779035;-58.36049360594191;BBVA-BANCO FRANCES;BANELCO;826 BROWN, ALTE. AV.;2;BOCA;1;0;2000
45;-34.61818387374033;-58.50246052750458;BANCO SANTANDER RIO;BANELCO;4502 ALVAREZ JONTE AV.;3;MONTE CASTRO;1;0;3000
46;-34.619632898438155;-58.505117116322026;BANCO PATAGONIA;BANELCO;4740 ALVAREZ JONTE AV.;2;MONTE CASTRO;1;0;2000
47;-34.623657847663296;-58.51124571115084;BBVA-BANCO FRANCES;BANELCO;5255 ALVAREZ JONTE AV.;1;MONTE CASTRO;1;0;1000
48;-34.59120149635174;-58.38335552506891;BANCO GALICIA;BANELCO;1331 ALVEAR AV.;1;RETIRO;1;0;1000
50;-34.60737673922378;-58.44515301167412;BANCO GALICIA;BANELCO;1072 GALLARDO, ANGEL AV.;2;CABALLITO;1;0;2000
51;-34.58761745765258;-58.373212291491576;BANCO GALICIA;BANELCO;1160 ANTARTIDA ARGENTINA AV.;1;RETIRO;1;0;1000
52;-34.58507538948199;-58.37245119803671;BANCO PATAGONIA;BANELCO;1355 ANTARTIDA ARGENTINA AV.;1;RETIRO;1;0;1000
53;-34.63443477258772;-58.43568669816477;BBVA-BANCO FRANCES;BANELCO;695 ASAMBLEA AV.;1;PARQUE CHACABUCO;1;0;1000
54;-34.61357164303768;-58.38544234732578;BANCO MACRO;BANELCO;1358 BELGRANO AV.;1;MONSERRAT;1;0;1000
55;-34.61387915916312;-58.38987205183146;BANCO MACRO;BANELCO;1668 BELGRANO AV.;2;MONSERRAT;1;0;2000
56;-34.613623584804444;-58.39148787666754;BANCO SUPERVIELLE;BANELCO;1783 BELGRANO AV.;4;MONSERRAT;1;0;4000
57;-34.6129276972868;-58.37606741015018;BBVA-BANCO FRANCES;BANELCO;698 BELGRANO AV.;2;MONSERRAT;1;0;2000
